membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,25,3,-0.09155927757801041,-0.09240770902808826,-0.09071084612793255,2,0.8900982733532743,170.5,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0016968629001557073
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,26,1,-0.08526440386053866,-0.08652752468950432,-0.08400128303157298,2,0.896393147070746,216.5,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.002526241657931347
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,27,1,-0.0794980316584985,-0.0794980316584985,-0.0794980316584985,1,0.8981152578857714,405.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,29,2,-0.0264616609076485,-0.0264616609076485,-0.0264616609076485,1,0.9511516286366214,113.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,31,2,-0.0294848609292716,-0.0294848609292716,-0.0294848609292716,1,0.9498631541177948,91.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,31,3,-0.0949813525168621,-0.0949813525168621,-0.0949813525168621,1,0.8826319370274078,227.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,31,5,-0.0628776440609686,-0.0628776440609686,-0.0628776440609686,1,0.9228241682573308,83.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,33,2,-0.0833001281604098,-0.0833001281604098,-0.0833001281604098,1,0.8943131613838601,317.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,34,1,-0.07635519308678025,-0.07825731865804188,-0.07445306751551863,2,0.9053023578445044,343.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0038042511425232517
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,35,1,-0.0776582446725098,-0.0776582446725098,-0.0776582446725098,1,0.9080435676457896,263.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD16,subgroup,3,1,-0.0882912511768443,-0.09456153799596245,-0.07756824433978016,7,0.8908101549354115,468.0,0.0,Mono_CD14+Mono_CD16,0.016993293656182296
Mono_CD14+Mono_CD16,subgroup,4,1,-0.0826454738856955,-0.09013664303226421,-0.077065107383544,7,0.8949850658164404,467.0,0.0,Mono_CD14+Mono_CD16,0.013071535648720212
