pathway,K5,K6,K7,K8,K9,K10
MERGED_SKELETAL_MUSCLE,4,4,5,5,5,6
MERGED_SKELETAL_PROGENITOR_LIKE,4,4,5,5,5,6
MERGED_SKOR2_NPSR1_POSITIVE,4,4,1,5,1,6
MERGED_SLC24A4_PEX5L_POSITIVE,4,4,5,5,5,6
MERGED_SLC26A4_PAEP_POSITIVE,2,2,1,1,1,1
MERGED_SMG,3,3,3,3,3,2
MERGED_SMG_BASAL,4,4,5,5,5,7
MERGED_SMOOTH_MUSCLE,4,4,5,5,5,6
MERGED_SOX5_BCL11B_POS_EXCITATORY_NEURON,4,4,5,5,5,6
MERGED_SPP1_POS_MACROPHAGE,5,5,6,6,7,8
MERGED_SQUAMOUS,3,6,7,8,9,10
MERGED_SQUAMOUS_EPITHELIAL,2,6,7,8,9,7
MERGED_SST_POS_NEURON,4,4,2,2,8,9
MERGED_STELLATE,4,4,5,5,5,6
