k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
13	6	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2516734700196013	1.0227098041392364	0.0	1.0	0.22896366588036487		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	7	non_identity_unresolved	Mac_IL1B	Mono_TIL	1.2999741580162272	1.156541282011654	0.0	0.0	0.1434328760045731		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	8	identity_supported	Mac_SPP1	Mac_CXCL9	1.3214880439852739	1.172451890491436	0.0	0.0	0.1490361534938378	0.0	1	Mac_SPP1:NES=1.321,q=0	single significant identity (Mac_SPP1); no competitor set
13	9	non_identity_unresolved	Mono_TIL	cDC2_CD1C	1.2992992450060135	1.2072977634032627	0.0	0.0	0.09200148160275079		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	1	identity_ambiguous	Mono_CD14_ID1	Mono_CD14_THBS1	1.8064805558933494	1.5871789037147934	0.0	0.0	0.21930165217855602	0.878602816142626	4	Mono_CD14_ID1:NES=1.806,q=0; Mono_CD14_THBS1:NES=1.587,q=0; Mono_CD14_IL1B:NES=1.364,q=0; Mono_CD14:NES=1.307,q=0	4 significant sets, top two near-tied (runner_up_ratio=0.879 > 0.8)
14	10	non_identity_unresolved	Mono_TIL	cDC2_CD1C	1.2888575690795752	1.201320784937713	0.0	0.0	0.08753678414186217		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	11	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.2862380707803127	1.1744137508723589	0.0	0.0	0.11182431990795383		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	12	non_identity_unresolved	Mast	cDC2_CD1C	1.236486435775289	0.9799030152416804	0.0	1.0	0.2565834205336085		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	13	non_identity_unresolved	Mac_SPP1	Mac_IL1Bint	1.1583012131064176	1.108743069391692	0.056999999999999995	0.1855	0.049558143714725666		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	14	non_identity_unresolved	Mast	cDC2_CD1C	1.1808060762776535	1.1711344723264687	0.07999999999999999	0.053	0.009671603951184826		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	2	identity_supported	Mono_CD16	Mono_Int	1.95436678199528	1.4911884601406222	0.0	0.0	0.4631783218546577	0.7630033798559639	3	Mono_CD16:NES=1.954,q=0; Mono_Int:NES=1.491,q=0; cDC2_CD33:NES=1.439,q=0	Mono_CD16 dominates 3 significant sets (runner_up_ratio=0.763 <= 0.8)
14	3	non_identity_unresolved	cDC2_CD1C	cDC1_CLEC9A	1.2545335429687519	1.2478891824758702	0.0	0.0	0.00664436049288164		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	4	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2571114094779081	1.1277316344880857	0.0	0.0	0.12937977498982245		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	5	non_identity_unresolved	cDC2_CD1C	Mac_IL1Bint	1.2938890441397883	1.2202429622454474	0.0	0.0	0.07364608189434096		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	6	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.2021227348870085	1.1890442779925643	0.0	0.0	0.013078456894444201		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	7	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2382837094355572	1.017996416610795	0.0	1.0	0.22028729282476212		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
14	8	identity_supported	Mac_SPP1	Mac_CXCL9	1.3047448252573433	1.1626559658317015	0.0	0.0	0.14208885942564176	0.0	1	Mac_SPP1:NES=1.305,q=0	single significant identity (Mac_SPP1); no competitor set
14	9	non_identity_unresolved	Mac_IL1B	Mono_TIL	1.2528675026698888	1.1302055667802446	0.0	0.0	0.12266193588964414		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
15	1	identity_supported	Mono_CD14_ID1	Mono_CD14_THBS1	2.171654511159949	1.7355099439394044	0.0	0.0	0.4361445672205444	0.7991648464434677	5	Mono_CD14_ID1:NES=2.172,q=0; Mono_CD14_THBS1:NES=1.736,q=0; cDC2_CD33:NES=1.639,q=0; Mono_CD14_IL1B:NES=1.515,q=0; Mac_SPP1:NES=1.453,q=0	Mono_CD14_ID1 dominates 5 significant sets (runner_up_ratio=0.799 <= 0.8)
15	10	identity_supported	Mast	Mac_SPP1	1.4274834090728417	1.151463639999401	0.0	0.0165	0.2760197690734407	0.0	1	Mast:NES=1.427,q=0	single significant identity (Mast); no competitor set
15	11	non_identity_unresolved	Mac_IL1B	Mono_TIL	1.0990182775386488	1.0541607265673225	0.0	0.001	0.044857550971326265		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
15	12	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.1268075885018993	1.0907297385639663	0.0	0.0	0.03607784993793306		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
15	13	non_identity_unresolved	Mast	cDC2_CD1C	1.2671170370968163	1.2174347891326807	0.055	0.085	0.04968224796413567		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
15	14	non_identity_unresolved	Mac_IL1Bint	Mac_SPP1	1.0727209788661747	1.0699158532448927	0.515	0.287	0.0028051256212819897		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
15	15	non_identity_unresolved	Mac_SPP1	cDC2_CD1C	1.1321602470222674	1.058710513425442	0.0	0.008	0.07344973359682538		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
