,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ADCYAP1R1,0.018147639469813293,-0.009213174687047729,-0.01108413087038406,0.017775327901880397,-0.011024439508784718,0.023133812964633203,-0.0012223004351576171,-0.0010198827651925375,0.004841907748286447,-0.009545884582577956
ADGRA2,0.01936598015748204,-0.015917288936525147,-0.011959194498773924,0.021158846230542174,-0.001900523842515681,0.028138580278672328,0.0006337533179930504,-0.0023464352632965382,-0.0010862468086699933,-0.006998283508921823
ADGRB1,0.022115736345991246,0.00471336212963724,-0.016001073007412495,0.0037950475607749774,-0.020813721733048362,0.01174702731405529,0.008205917069844323,0.005328774772922135,-0.0006124225381791944,-0.013503014739005432
ADGRD1,0.006843907359668689,0.008141775653849187,0.0011100164193771438,0.006607426456257289,-0.0037218201564611004,0.03087615013498952,0.01437560174051213,0.0008194209816782322,0.01139639973936345,-0.034129995009883
ADGRE1,0.0025318217712566003,-0.012296755124413111,-0.003586317283002543,-0.00772565223768085,0.014587417275618316,0.008199244091964658,0.017094784056367298,0.006334903518179377,0.03721349567011308,-0.006695022694685573
ADGRE2,0.015367001846450457,-0.009893729059330085,-0.010119762669482729,-0.0004951414239500338,0.008413249295449282,-0.006004008696837874,-0.0043613217367535215,0.012896078136039666,0.011496554499269476,-0.0040066776562286245
ADGRE3,0.0003421290292774628,0.010274729727042879,0.018874983611743064,-0.02621164706424719,0.02309022425639952,0.014566168313841115,0.022508445494262386,0.006006931999620202,0.016163487249825574,-0.009108797468814938
ADGRE5,0.012162442161201785,0.015497944830988665,-0.008830912217036255,-0.028902926870861736,-0.006107866625520572,0.0006621721975095191,-0.014723503307227815,-0.020060537658394308,0.000616579943811202,-0.013117939839010691
ADGRF1,0.0028967537192612137,0.003450516056672807,0.005912511115506415,0.004915421208713047,0.0011795981630321121,-0.010927210774220314,-0.017032348433564593,0.0021296736435221135,0.020783514966121387,0.030066427909228484
ADGRF3,0.005732595945116092,-0.014923418148729972,-0.0059951855813982135,-0.0032159733940718997,0.02737211649113138,-0.013318453539949069,-0.012042872232140494,-0.0009683401029559229,-0.030062714593733955,0.0031683376536161285
ADGRF5,0.0027292611356701537,0.011660371544986807,0.003071576852111363,0.014658796663866288,0.0067594519407253965,0.041600726922727135,0.0027995508611016492,-0.008045966221419886,-0.023788130158897698,0.032812362303563235
ADGRG1,0.001924286464019888,0.017219944191815592,0.028738583803926233,0.016079216708706635,0.01574539020664737,-0.011447640710625085,-0.0016290511714846937,-0.003675346510537502,-0.0010202060813980212,0.0028763493422649567
ADGRG3,0.0012478333481089265,0.005871514949969109,0.00038872747516080996,-0.008922262246216662,0.030520482418501742,0.0208756532107995,0.0014157916924189726,-0.013339390016161827,-0.00027388303714283627,0.013882796172019448
ADGRG5,-0.0010772862140478634,0.015601258977144258,-0.01843545019938788,-0.0159306139890498,0.006626480863618687,-0.006449750829857498,0.01338849955471837,0.03411243923958769,-0.0207493599919791,0.0018703217682758707
ADGRG6,0.013957439933305801,0.00519196411256273,0.01854263995114254,-0.012211949228475056,0.01956622073514999,0.02815602014740453,0.012449574504208014,-0.001534311226758486,-0.009171832613474259,0.0247382541289139
ADGRL2,0.02191205738549011,-0.012620896059443176,-0.007903982666333487,0.02304586967495036,-0.014378803675291502,0.009962740010939103,0.0054506324331256755,-0.004766702251846348,0.006186003102105057,0.0006195985664541513
